EnstID	Gene	MIS	LOF	Silent	Total
ENST00000272425	NAT8	36	1	6	43
ENST00000318315	C5orf46	11	1	4	16
ENST00000272421	ANKRD53	29	1	12	43
ENST00000378832	ACCSL	74	3	19	100
ENST00000451288	DCUN1D4	18	0	4	24
OTTHUMT00000057774.1	TEX13A	37	8	12	58
ENST00000263245	ARFGAP3	42	12	22	80
ENST00000262593	DOK5	63	4	15	87
ENST00000428638	ARHGAP27	18	2	9	31
ENST00000315099	STX19	23	3	12	38
ENST00000336640	PPP2R2B	78	8	29	122
ENST00000336643	SLC39A9	25	0	16	41
ENST00000336649	CACNA1I	97	4	57	164
ENST00000416816	CT47A12	1	0	2	3
ENST00000332556	LAMP1	35	2	19	60
ENST00000332558	AC009365.3	8	0	1	9
NM_199345.2	PI4KAP2	14	1	6	22
ENST00000373135_v70	L3MBTL1	42	5	19	69
ENST00000338896	CLEC12B	12	1	5	18
ENST00000338897	KRTDAP	14	1	4	22
ENST00000338894	FLJ43806	18	0	13	31
ENST00000338891	FAM184A	143	10	30	193
ENST00000341435	NEK10	63	6	26	98
ENST00000216237	L3MBTL2	63	4	22	92
ENST00000248673	ZFP36	26	3	10	40
ENST00000427058	RP1	42	2	21	70
ENST00000506087	TMEM192	1	0	0	1
ENST00000273482	TRPC1	83	8	21	118
ENST00000273480	RNF7	12	0	4	16
ENST00000308641	APOBEC4	42	5	9	57
ENST00000314328	SPECC1L	112	10	19	143
ENST00000308647	ATAD3B	57	5	30	95
ENST00000319540	SCD5	37	6	12	57
ENST00000319545	MRI1	15	8	5	29
ENST00000300093	PLK1	67	11	21	100
ENST00000513881	SNX24	7	1	2	10
ENST00000300098	GPR182	42	4	16	62
ENST00000380859	AKR1C1	6	0	5	11
ENST00000262629	TYROBP	17	1	3	23
ENST00000380851	IDH3B	7	0	3	10
ENST00000380850	TTC39B	14	1	7	23
ENST00000262623	ATP4A	153	7	55	223
ENST00000262622	CHST8	79	2	39	121
ENST00000367884	MGST3	9	4	3	16
ENST00000367881	TMCO1	14	1	5	20
ENST00000367883	MGST3	1	2	0	3
ENST00000342166	DPY30	5	0	2	7
ENST00000264501	KIAA1109	461	49	135	661
ENST00000426099	AC142381.1	1	0	0	1
ENST00000342160	HUWE1	379	20	113	517
ENST00000370481	GBP3	65	5	19	91
ENST00000347108	DZIP1	98	13	33	147
ENST00000370487	C20orf20	17	0	7	24
ENST00000370489	ENTPD7	55	3	13	71
ENST00000399312	MRPS6	17	0	2	20
ENST00000399313	LRRC16A	106	8	27	148
ENST00000450107	SAMD10	2	0	0	2
ENST00000508738	CAMK2D	20	3	11	35
ENST00000334567_v68	TMEM212	10	1	1	13
ENST00000241305	CPXM2	149	15	44	215
ENST00000237364	STIM2	60	10	32	104
ENST00000293525	KRT86	45	3	22	70
ENST00000309117	DSCR3	20	2	5	28
ENST00000274137	NDUFS6	13	1	2	18
ENST00000274134	ROPN1L	35	2	12	50
ENST00000225873	PEX12	37	4	14	55
ENST00000437538	TNFRSF13B	0	0	0	1
ENST00000307602	HOOK3	78	6	16	106
ENST00000312561	C12orf35	144	20	35	200
ENST00000531678	TAS2R43	69	2	35	107
ENST00000374339	PTPN20A	2	0	1	3
ENST00000374338	LDLRAP1	26	8	13	48
ENST00000367746	IL20RA	7	1	3	11
ENST00000374333	TEX11	105	21	39	171
